Model Year,Labor Hours, Labor hours adjusted to .4 per sensor , Material Cost adjusted to 64.47 per sensor , Part MarkUp Adjusted to 18.42 per sensor , Misc. Amt (total) , Custom Column , Customer Paid Amount , Repair Dealer Paid Amount , Total Cost Gross ,Claim Key,VIN,Repair Dealer Code,Document Number,Part Num Full OB (Causal),Part Num Prefix (Causal),Part Num Base (Causal),Part Num Suffix (Causal),Vehicle Line AWS,Mileage,Load Date,Repair Date,Repair Dealer State,Country Repaired,Region Repaired,Production Date,Warranty Start Date,Country Sold,Customer Concern Code,Customer Comments,Condition Code,Technician Comments,Part Install Date,Transaction Code,Part Quantity, Original Labor Cost , Original Material Cost , Original Part MarkUp Adjusted to 18.42 per sensor ,SUPPLIER DISPUTES VALIDITY?,Supplier A DISPUTE REASON,,"Time In Service
(in years)",,,,,,,,,,,,,,,,,,
2020,0.6, $70.94 , $128.94 , $36.84 ,0,0,0,0, $199.88 ,10864091,1FA6P8SJ1L5505021,1325,734836D,KR3Z-1007-L,KR3Z,1007,L,ZA,11993,20-Mar-23,23-Nov-22,NJ,USA,NA,16-Oct-20,28-Dec-20,USA,B65,CHECK TO FRONT RIMS WHEN FILL WITH AIR THE RIMS LEAK,D4,"PRIOR APPRIVAL CONTACT IN NUMBER 11 9869794*********TECH 3032267******* *******VERIFIED THAT BOTH FRONT WHEELS ARE LEAKING FROM THE INSIDE OF THE WHEEL XX VEHICLE IS EQUIP WITH CARBON FIBER WHEELS AND ARE BOTH LEAKING XX NO SIGNS OF IMPACT DAMAGE OR ABUSE XX CONTACTED PRIOR APPROVAL AND PROVIDED THEM WITH PICTURES, THEY RESPONDED BACK WITH NO APPROVAL NECESSARY XX 3049991: REPLACED BOTH FRONT WHEELS DUE TO RESIN IN BARREL OF WHEEL BREAKING DOWN FROM HEAT. AND FRONT VALVE STEMS/SENSORS. INSTALLED WHEELS ON VEHICLE AND TORQUED TO SPEC. VERIFIED FRONT WHEELS NO LONGER LEAKING. VERIFIED REPAIR.",01-JAN-0001,E84,2, $100.72 ," $17,164.33 "," $8,116.19 ",X,Dealer states problem with carbon fiber rims leaking.  Rim leaks originating at the TPMS valve stem is generally caused by improper installation at the assembly plant and/or rim valve hole quality issues.  Non-Supplier A related claim.,,1.904109589,,,,,,,,,,,,,,,,,,
2021,14.2, $35.47 , $64.47 , $18.42 ,0,0,0,0, $99.94 ,7806829,1FD8X3G64MEC43261,5875,21654701,PC3Z-1109-A,PC3Z,1109,A,F7,50704,13-Apr-23,10-Mar-23,AR,USA,NA,02-Dec-20,27-Aug-21,USA,K15,"LITE: REPAIR/LITE DUTY GUEST STATES WHILE DRIVING ALONG, VEHICLE QUIT PULLING IN GEAR, FOUND HAD R/R AXLE LOOSE AND HAD CAUGHT ON FIRE UNDERNEATH, HAD TO TOW IN",42,"verified concern, inspected right rear axle, removed rear wheels and tires, found axle bearing had failed and seized and found axle housing was damaged, was caught on fire, tires were blown, wheels scorched, brake caliper and bracket, and parking brake shoe and backing plate, disassembled, raised rear of vehicle and supported, removed left rear wheels, tires and brakes, removed driveshaft, prepared to remove axle housing from vehicle, add on air helper springs needed to be removed and mounting hardware, removed axle, had to cut axle tube to remove right axle to remove carrier, removed and transferred internal case races and pinion bearings to new housing, installed and assembled axle housing, reinstalled components and replaced components damaged as listed earlier, new brake caliper and bracket, brake pads and parking brake shoe on right rear, installed new wheels, tires and tire sensors, filled fluid and bled brakes, MTADDON for customer added equipment MTAXLE for removing entire axle",01-JAN-0001,E95,1," $1,914.16 "," $7,649.79 "," $3,648.85 ",X,Dealer clearly states issues on vehicle caused by bearing failure and axle fire…NOT a TPM sensor problem.  This should never been filed as a TPMS warranty claim.,,1.534246575,,,,,,,,,,,,,,,,,,
2022,18.6, $35.47 , $64.47 , $18.42 ,0,0,0,0, $99.94 ,2992750,1FDWE3FN6NDC42917,8075,540187A,LC24-4001-ND,LC24,4001,ND,E1,746,06-Apr-23,05-Dec-22,NC,USA,NA,26-Jan-22,02-Feb-22,USA,K02,"CUSTOMER STATES ABS LIGHTON AND SMOKE FROM DRIVERS SIDE REAR TIRES *WARRANTY ADMIN NOTE 4/4- I added a note in the tech comments section when attaching original documents- since our dealership buy/sell, the accounting copies do not display time punches, so I included the last page of the warranty copy that does display time punches. I have now also attached all of the warranty copies for review- the time punches are shown on the last page.",42,"INSPECTED AND FOUND OIL AROUND THE LEFT REAR WHEELS. REMOVED WHEELS AND FOUND THE HUB SEAL LEAKING. REMOVED LEFT REAR AXLE AND FOUND LOOSE HUB NUT. THE HUB NUT HAD COME LOOSE AND THE HUB AND HOUSING WERE DAMAGED. THE HUB COULD NOT BE REMOVED FROM THE HOUSING BECAUSE OF THE DAMAGED NUT, BEARINGS AND HUB. REMOVED DIFFERENTIAL CASE AND FOUND METAL THROUGH THE HOUSING. FOUND DAMAGE TO ALL BEARINGS, RING AND PINION GEARS. DUE TO THE EXTENT OF THE DAMAGE THE ENTIRE DIFFERENTIAL HOUSING ASSEMBLY HAD TO BE REPLACED. REPLACED DIFFERENTIAL HOUSING ASSEMBLY. REPLACED BROKEN LEFT INNER VALVE STEM. REPLACED ALL NEEDED HARDWARE. THE VEHICLE WAS EQUIPPED WITH AFTERMARKET OVERSIZED LEAVE SPRINGS AND LONGER AFTERMARKET U-BOLTS AND NUTS. REUSED AFTERMARKET U-BOLTS AND NUTS WITH LOCTITE. OTHER ONE TIME USE HARDWARE WAS UNAVAILABLE. REUSED SOME ONETIME USE HARDWARE WITH LOCTITE AND OBTAINED OTHER HARDWARE FROM NAPA. REPLACED LEFT READ WHEEL SPEED SENSOR BECAUSE IT WAS MELTED DUE TO OVERHEATING. THE REAR DIFFERENTIAL HOUSING WAS NOT EASILY REMOVED FROM THE MOTORHOME DUE TO CLEARANCE ISSUES. HAD TO REMOVE AND INSTALL FUEL TANK, 2.0 MTIME NEEDED TO REMOVE MUFFLER AND TAIL PIPE SECTION FOR ACCESS. 2.5 MTIME NEEDED TO REMOVE AND INSTALL AFTERMARKET MUDFLAPS AND BRAKETS FOR ACCESS. 7.6 MTIME NEEDED TO SUSPEND MOTORHOME FROM THE BACK OF A 4 POST LIFT AND JACKSTANDS, REMOVE ENTIRE REAR DIFFERENTIAL HOUSING WITH FORKLIFT, TO REALIGN THE NEW DIFFERENTIAL AND TO SET PROPER PINION TO DRIVESHAFT ANGLE TO PREVENT VIBRATION BY INSTALLING REAR DIFFERENTIAL WEDGES BETWEEN THE DIFFERENTIAL AND LEAF SPRINGS. NOTE -WARRANTY HISTORY SHOWS THAT VEHICLE WAS INSPECTED FOR CONCERN AT LAFAYETTE FORD, BUT NO WORK WAS PERFORMED DUE TO SIZE OF V EHICLE. *WARRANTY ADMIN NOTE - Included the last page of the warranty copy in attached documents to show the technician clock punch times; they are not displayed on the accounting copy.",01-JAN-0001,1,1," $2,439.77 "," $5,767.07 "," $2,777.40 ",X,Dealer clearly states issue was caused by vehicle HUB SEAL faulty and leaking…NOT a TPM sensor problem.  This should never been filed as a TPMS warranty claim.,,0.838356164,,,,,,,,,,,,,,,,,,
2021,14.6, $35.47 , $64.47 , $18.42 ,483.5631589,0,0,0, $99.94 ,7639527,1FDWE3FN6MDC34542,B6293,793991A,BC3Z-1240-A,BC3Z,1240,A,E1,37506,29-Mar-23,05-Aug-22,AB,CAN,NA,20-Nov-20,24-Feb-21,USA,K15,"TOW IN- CHECK AND ADVISE FOR LEFT REAR TIRES ARE LOOSE, VEHICLE IS NOT DRIVABLE continuation of tech comments: REPLACE BEARINGS & SEAL ON RH HUB & RE-INSTALL IN VEHICLE. INSTALL NEW HUB, ROTOR, BEARINGS, SEAL, CALIPER BRACKET & WHEEL ON LH SIDE REPLACING HARDWARE. FILL NEW DIFFERENTIAL HOUSING. TORQUE ALL WHEELS. RE-INSTALL DRIVESHAFT & INSTALL NEW BOLTS. CLEAR ABS & TRACTION DTC`S. TEST DROVE & VERIFIED NO AXLE NOISE PRESENT. ANY PARTS NOT ABLE TO BE RETURNED IN ORIGINAL BOXES IS BECAUSE THEY ARE STUCK IN HOUSING ASSEMBLY & CANNOT BE REMOVED WITHOUT CUTTING HOUSING INTO PIECES CITY WIDE TOWING INVOICE 156911-1 (TOW VEHICLE INTO SHOP DUE TO VEHICLE MOT BEING MOBILE)",42,"656237 4205A 1.8, 4205A13G 5.6, 1007AE 0.6 ATTEMPT MULTIPLE SET UPS OF DIFFERENTIAL DUE TO MISSING SHIMS & REPLACING IRREGULAR BENT/DAMAGED COMPONENTS 6.8MT VEHICLE IS IN MILES, USA SOLD & REGISTERED IN CALIFORNIA. JACKED UP REAR OF VEH & ATTEMPT TO SPIN WHEEL, DOES NOT TURN & IS AT INCORRECT ANGLE. C0037 C1A95 PRESENT FOR ABS. REMOVE AXLE BOLTS & FOUND LR AXLE IS BROKEN AT HUB RETAINING NUT & SHAFT IS JAMMED INTO HOUSING. WAITING FOR MAINTENANCE RECORDS. OBTAIN MAINTENANCE RECORDS & ENSURED WARRANTY COVERAGE. HAD VEHICLE TOWED INTO SHOP. REMOVE LH WHEELS & FOUND INNER WHEEL DAMAGED & TPMS SENSOR DAMAGED DUE TO TIRE BLOW OUT. BLOWOUT WAS CAUSED BY RUBBING ON LEAF SPRING FROM ANGLE CAUSED BY DAMAGED AXLE HOUSING. MOUNT NEW TIRE ON NEW RIM & REPLACE SENSOR. REPLACE WHEEL & SENSOR. REMOVE HUB ASSEMBLY & FOUND AXLE IS NOW WARPED AT AN APPROXIMATELY 45 DEGREE ANGLE DUE TO HEAT & BEARING FAILURE. REMOVE RH WHEELS. REMOVE CALIPERS & BRACKETS. FOUND LR CALIPER BRACKET, BACKING PLATE & PARK BRAKE SHOES DAMAGED, REPLACE ALL. REMOVE AXLE HOUSING FROM VEHICLE. CANNOT REMOVE CARRIER OR CROWN & PINION DUE TO AXLE SHAFT BEING WARPED INTO HOUSING. REPLACE LR AXLE SHAFT, AXLE HOUSING, CARRIER, & CROWN & PINION. TRIED TO FOLLOW WORKSHOP MANUAL FOR DIFFERENTIAL SET UP. COULD NOT FOLLOW WORKSHOP DUE TO MOST STEPS REQUIRING ""USE ORIGINAL SHIMS FOR SETUP""  OLD SHIMS ARE JAMMED IN HOUSING. ORDER RANDOM SIZE SHIMS TO ATTEMPT SETUP. BORROWED SPECIAL TOOLS FROM ANOTHER DEALER TO SET UP PINION DEPTH USING SHIMS PROVIDED WITH NEW PINION. USE RANDOM SIZED SHIMS TO ATTEMPT SET UP OF CARRIER ASSEMBLY ALONG WITH FEELER GAUGES. WAS ABLE TO OBTAIN APPROXIMATE SIZE OF NECESSARY SHIMS & ORDERED. NEW SHIMS ARE CLOSE BUT NOT ENOUGH BACKLASH. ORDER 1 MORE CARRIER OUTBOARD SHIM & WAS ABLE TO SET CORRECT BACKLASH AT 0.05"". WAS ABLE TO RE-USE COVER FROM ORIGINAL HOSING. CLEAN  RE-SEALED & INSTALL COVER. INSTALL NEW AXLE HOUSING IN VEHICLE REPLACING ALL ONE TIME USE HARDWARE. REPLACE BEARINGS & SEAL ON RH HU",01-JAN-0001,E95,1," $1,790.46 "," $5,236.40 "," $1,494.54 ",X,Dealer clearly states issue was caused by various structural underbody problems with this vehicle…NOT a TPM sensor problem.  This should never been filed as a TPMS warranty claim.,,1.443835616,,,,,,,,,,,,,,,,,,
2022,1.2, $141.88 , $257.88 , $73.68 ,0,0,0,0, $399.76 ,3132747,1FDRF3A69NEF86987,7851,34948401,*-OWNERGD-*,*,OWNERGD,*,F7,123,21-Apr-23,26-Jan-23,CA,USA,NA,06-Oct-22,07-Dec-22,USA,B65,MISBUILT UNIT . TRUCK WAS SOLD WITH TIRES SIZE 245/75/ R17 (WRONG SIZE) CORRECT SIZE - 275/65 R 18. NEEDS CORRECTION,38,- TECH REPLACED 4 TIRES AND WHEELS AFTER GETTING AUTHORIZATION FROM FORD MOTOR COMPANY TIRES : GENERAL GRABER 275/65R/18 DOT: A3B9-HMJ9-0323 X1 DOT:A3B9-HMJ9-4522 X3 CAS- 41240847-X0M9W0,01-JAN-0001,MVC,4, $300.00 ," $4,923.44 "," $2,300.40 ",X,"NO CUSTOMER ISSUE PRIOR TO REPLACEMENT OF WRONG SIZE WHEELS/TIRES FROM FORD.  MOST LIKELY DEALER DID NOT FOLLOW TPMS RELEARN PROCEDURE PROPERLY, OR DID NOT DRIVE VEHICLE LONG ENOUGH TO COMPLETE RELEARN.  DEALER NARRATIVE SHOWS NO VALID TPMS COMPLAINT OR REASON FOR REPLACING FOUR SENSORS UNDER WARRRANTY.",,0.136986301,,,,,,,,,,,,,,,,,,
2020,2.7, $35.47 , $64.47 , $18.42 ,0,0,0,0, $99.94 ,10914377,1FD8X3H69LEC25240,5574,84891801,LC3Z-5F250-A,LC3Z,5F250,A,F7,18409,24-Mar-23,10-Mar-23,CA,USA,NA,06-Dec-19,24-Feb-20,USA,E32,C/S THAT THE CHECK ENGINE LIGHT IS ON (SOP),D4,"5F250 D4 CUSTOMER STATES CHECK ENGINE LIGHT IS ON UPON INSPECTION ABLE TO DUPLICATE CONCERN PERFORMED DTC CHECK FOUND P0420 BANK 1 CATALYST BELOW THRESHOLD, PERFORMED OASIS CHECK PASS, PERFORMED PPT HF1 YES P0420, HF2 NO, HF4 YES 60PSI, HF6 NO EXHAUST LEAK, HF11 YES P0420 INTERNAL CAT FAILURE, REMOVED AND REPLACED BOTH BANK CATS SERVICED AS A WHOLE UNIT, REASSEMBLED REMOVED PARTS, CLEARED DTCS AND POST ROAD TEST PASS.",01-JAN-0001,S07,1, $467.10 ," $4,477.01 "," $2,158.52 ",X,**NEITHER THE CUSTOMER COMPLAINT NOR THE DEALER NARRATIVE STATES ANY TPMS CONCERNS.  THERE IS NO TPMS COMPLAINT SHOWN AND THIS SHOULD NOT HAVE BEEN FILED AS A TPMS CLAIM AGAINST Supplier A.,,3.04109589,,,,,,,,,,,,,,,,,,
2019,1.2, $141.88 , $257.88 , $73.68 ,0,0,0,0, $399.76 ,14098100,1FT7W2BT3KEG74956,8766,029615A,*-1007-*,*,1007,*,F7,21689,17-Mar-23,13-Mar-23,WI,USA,NA,07-Oct-19,28-Apr-20,USA,B65,Customer states rims are peeling,5,verified all 4 wheels are peeling checked for ouside damage none found and compared to job aid and found warrantable replaced wheels and sen; sors balanced and test drove sensors were replaced due to needing new valve stems for wheels and the valve stems are not available separately per parts catalog for this application. dealer can picture of parts screen if necessary,01-JAN-0001,E84,4, $126.23 ," $3,159.35 ", $902.67 ,X,Dealer clearly states: "REPLACE ALL 4 WHEELS AND TPMS SENSORS DUE TO RIMS PEELING".  This is not a TPMS issue and should not have been filed as a warranty claim.,,2.873972603,,,,,,,,,,,,,,,,,,
2020,0.9, $70.94 , $128.94 , $36.84 ,0,0,0,0, $199.88 ,11089271,1FT8W3DT4LEC26881,4962,425758C,JC3Z-1007-E,JC3Z,1007,E,F7,35414,17-Apr-23,05-Apr-23,FL,USA,NA,16-Jan-20,29-May-20,USA,B65,C/S: CUSTOMER STATES THE REAR OUTER TIRES KEEP LOSING AIR,5,"VERIFY BOTH TIRES LOW, PUT BOTH OUTSIDE WHEELS IN A WATER TANK TO CHECK FOR LEAKS. FOUND WHEELS LEAKING AROUND VALVE STEMS BECAUSE OF CORROSION ON THE WHEELS. INSPECTED AND BOTH WHEELS ARE DELAMINATING , REPLACED BOTH OUTER WHEELS. WHEN REMOVING SENSORS OFF VALVE STEMS BOTH SENSORS BROKE BEFORE SENSOR CAME OFF. REPLACED SENSORS AND VALVE STEMS. TRAINED TPMS SENSORS. VERIFY REPAIRS, 1007, 42",01-JAN-0001,E84,2, $149.40 ," $3,117.19 "," $1,528.41 ",X,DEALER CLEARLY STATES AIR LEAKS WERE CAUSED BY WHEEL DELAMINATION…NOT a TPM sensor problem.  This should never been filed as a TPMS warranty claim.,,2.852054795,,,,,,,,,,,,,,,,,,
2020,1.2, $35.47 , $64.47 , $18.42 ,0,0,0,0, $99.94 ,11048905,1FT8W3DT5LEE42268,572,396884G,JC3Z-1007-E,JC3Z,1007,E,F7,27142,11-Apr-23,21-Mar-23,NY,USA,NA,03-Sep-20,07-Oct-20,USA,B65,REAR RIMS ARE PEELING,1Q,"REMOVED BOTH OUTER REAR WHEELS AND BROKE DOWN TIRES, REMOVED TPMS SEMSORS AND INSTALLED ON NEW VALVE STEMS IN NEW WHEELS AND MOUNTED BALANCED TIRES, SET TIRE PRESSURES AND ATTEMPTED TO RELEARN TPMS SENSORS BUT LEFT OUTER REAR WOULD NOT RELEARN, ATTEMPTED DRIVING VEHICLE AND RELEARNING TIRES AGAIN, SENSOR WOULD NOT RELEARN, REMOVED LEFT OUTER WHEEL AND INSTALLED NEW TPMS SENSOR, ATTEMPTED TO RELEARN SENSORS AGAIN AND STILL LEFT OUTER REAR WOULD NOT RELEARN, TEST DROVE AGAIN AND RELEARNED ALL SENSORS AFTER NUMEROUS ATTEMPTS. ****************************************************",01-JAN-0001,E84,1, $140.21 ," $2,838.73 "," $1,295.94 ",X,DEALER CLEARLY STATES AIR LEAKS WERE CAUSED BY WHEEL DELAMINATION…NOT a TPM sensor problem.  This should never been filed as a TPMS warranty claim.,,2.452054795,,,,,,,,,,,,,,,,,,
2019,1.2, $141.88 , $257.88 , $73.68 ,338.9185367,0,0,0, $399.76 ,14115608,1FT7W2BT1KEG18546,B8214,20271103,HC3Z-1007-G,HC3Z,1007,G,F7,30569,21-Mar-23,06-Jan-23,ON,CAN,NA,26-Aug-19,08-May-20,CAN,B65,CUSTOMER REPORTS THAT THE CHROME ON HIS WHEELS IS PEELING,D4,REPLACE ALL 4 WHEELS AND TPMS SENSORS DUE TO RIMS PEELING,01-JAN-0001,E84,4, $101.40 ," $2,505.68 ", $654.86 ,X,Dealer clearly states: "REPLACE ALL 4 WHEELS AND TPMS SENSORS DUE TO RIMS PEELING".  This is not a TPMS issue and should not have been filed as a warranty claim.,,2.665753425,,,,,,,,,,,,,,,,,,
